,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kondoa,28,TZ,1573863365,81,-4.91,35.78,66.27,9.1
1,Port Elizabeth,1,US,1573863365,48,39.31,-74.98,46.4,4.7
2,Champerico,75,MX,1573863365,73,16.38,-93.6,73.4,16.11
3,Souillac,90,FR,1573863365,93,45.6,-0.6,43.0,6.93
4,Bluff,0,AU,1573863365,35,-23.58,149.07,86.04,10.18
5,Salalah,0,OM,1573863366,65,17.01,54.1,77.0,2.24
6,Namwala,100,ZM,1573863366,87,-15.75,26.45,68.77,4.94
7,Nyimba,100,ZM,1573863366,70,-14.56,30.81,76.68,3.4
8,Ocala,90,US,1573863186,100,29.19,-82.14,60.01,6.93
9,Busselton,64,AU,1573863366,53,-33.64,115.35,77.0,7.0
10,Abha,20,SA,1573863366,76,18.22,42.5,59.0,3.36
11,Aden,19,YE,1573863367,74,12.79,45.03,77.04,10.13
12,Flinders,90,AU,1573863367,67,-34.58,150.85,73.0,8.05
13,Hermanus,92,ZA,1573863367,91,-34.42,19.24,66.99,26.82
14,Thompson,90,CA,1573863207,71,55.74,-97.86,5.0,3.36
15,Jamestown,41,AU,1573863367,34,-33.21,138.6,64.83,3.36
16,Carnarvon,0,ZA,1573863367,37,-30.97,22.13,63.5,11.34
17,Barrow,64,AR,1573863214,44,-38.31,-60.23,71.11,2.64
18,Rikitea,100,PF,1573863367,82,-23.12,-134.97,73.56,20.15
19,Jian,0,IN,1573863368,70,25.65,87.89,69.08,5.7
20,Torbay,50,CA,1573863103,80,47.66,-52.73,37.99,1.01
21,Saint George,3,GR,1573863103,93,39.45,22.34,50.0,5.82
22,Plouzane,85,FR,1573863165,87,48.38,-4.62,48.99,12.75
23,Ushuaia,40,AR,1573863206,76,-54.81,-68.31,48.2,3.29
24,Yellowknife,90,CA,1573863368,85,62.45,-114.38,12.2,6.93
25,Ankang,82,CN,1573863368,77,32.73,108.99,51.26,1.12
26,Yuli,100,CN,1573863368,92,24.82,106.77,61.65,2.15
27,Vaini,0,IN,1573863262,97,15.34,74.49,66.34,5.68
28,Todos Santos,5,MX,1573863369,50,23.45,-110.23,80.01,11.41
29,Albany,90,US,1573863369,60,42.65,-73.75,41.0,11.41
30,Kapaa,75,US,1573863369,74,22.08,-159.32,82.4,5.82
31,Andra,100,RU,1573863369,95,62.52,65.89,20.17,8.79
32,Port Alfred,45,ZA,1573863369,94,-33.59,26.89,61.0,2.62
33,Lagoa,17,PT,1573863369,66,37.14,-8.45,51.01,10.29
34,Kaitangata,100,NZ,1573863370,84,-46.28,169.85,54.0,8.99
35,Klaksvik,100,FO,1573863370,69,62.23,-6.59,37.4,12.75
36,Ponta do Sol,100,BR,1573863370,91,-20.63,-46.0,65.17,1.74
37,Khatanga,90,RU,1573863370,97,71.98,102.47,-13.58,5.12
38,Tura,43,RU,1573863370,100,64.27,100.22,-29.61,0.78
39,Ahipara,1,NZ,1573863370,85,-35.17,173.16,62.74,12.86
40,Huaicheng,22,CN,1573863370,65,23.91,112.19,64.67,1.72
41,Pevek,0,RU,1573863107,56,69.7,170.27,7.72,2.37
42,East London,59,ZA,1573863371,84,-33.02,27.91,68.23,3.2
43,Georgetown,20,GY,1573863071,79,6.8,-58.16,84.2,6.93
44,Khandyga,0,RU,1573863371,96,62.65,135.58,-14.8,2.46
45,Biella,90,IT,1573863371,100,45.57,8.05,45.0,1.12
46,Dikson,0,RU,1573863371,91,73.51,80.55,-1.53,6.85
47,Faanui,72,PF,1573863288,81,-16.48,-151.75,79.57,17.16
48,Kodiak,1,US,1573863372,48,39.95,-94.76,50.0,8.05
49,Saint-Philippe,40,CA,1573863204,63,45.36,-73.48,32.0,10.29
50,Bredasdorp,63,ZA,1573863372,88,-34.53,20.04,64.4,2.24
51,Lata,100,IN,1573863372,56,30.78,78.62,25.56,2.17
52,Sorong,3,ID,1573863372,74,-0.86,131.25,83.41,2.08
53,Yulara,0,AU,1573863372,14,-25.24,130.99,80.6,17.22
54,Ilulissat,100,GL,1573863373,86,69.22,-51.1,28.4,12.75
55,Colares,20,PT,1573863373,81,38.8,-9.45,50.0,3.36
56,Arraial do Cabo,90,BR,1573863098,83,-22.97,-42.02,71.6,17.22
57,Svetlaya,66,RU,1573863373,48,46.54,138.33,18.05,13.58
58,Lorengau,9,PG,1573863373,71,-2.02,147.27,84.52,7.4
59,Marquette,5,US,1573863373,79,46.54,-87.4,24.8,8.05
60,Lavrentiya,51,RU,1573863373,76,65.58,-170.99,25.99,24.2
61,Tam Ky,75,VN,1573863373,100,15.57,108.48,73.4,1.12
62,Port Lincoln,49,AU,1573863117,54,-34.72,135.86,58.89,8.77
63,Marana,1,US,1573863374,10,32.44,-111.22,80.6,4.63
64,Atuona,16,PF,1573863374,76,-9.8,-139.03,80.04,15.12
65,Katsuura,20,JP,1573863374,61,33.93,134.5,57.2,10.29
66,Saldanha,98,PT,1573863374,90,41.42,-6.55,36.52,3.91
67,Lensk,100,RU,1573863374,95,60.71,114.91,-14.3,4.54
68,Bowen,60,AU,1573863374,51,-20.01,148.25,84.0,4.7
69,Qaanaaq,100,GL,1573863199,76,77.48,-69.36,13.26,10.8
70,New Norfolk,75,AU,1573863208,37,-42.78,147.06,55.99,26.4
71,Mabaruma,17,GY,1573863375,94,8.2,-59.78,74.95,3.11
72,Young,0,UY,1573863375,50,-32.7,-57.63,78.01,1.99
73,Isangel,75,VU,1573863287,58,-19.55,169.27,84.2,11.41
74,Goure,40,NE,1573863375,18,13.98,10.27,81.0,5.01
75,Faya,20,SA,1573863332,76,18.39,42.45,59.0,3.36
76,Boysun,98,UZ,1573863376,60,38.2,67.2,43.56,0.43
77,Chadan,0,RU,1573863376,67,51.29,91.58,-8.45,5.53
78,Husavik,69,CA,1573863275,66,50.56,-96.99,24.01,5.01
79,Mitsamiouli,57,KM,1573863376,83,-11.38,43.28,79.99,7.29
80,Stephenville,90,CA,1573863376,81,48.55,-58.59,44.01,29.97
81,Thaba-Tseka,0,LS,1573863376,88,-29.52,28.61,44.78,0.72
82,Norman Wells,90,CA,1573863096,76,65.28,-126.83,-4.0,17.22
83,Phangnga,20,TH,1573863377,94,8.45,98.53,73.4,3.58
84,Chuy,5,UY,1573863377,90,-33.69,-53.46,58.66,4.81
85,Fez,75,MA,1573863377,100,34.03,-5.02,41.0,11.41
86,Duvan,85,RU,1573863377,87,55.69,57.9,28.26,13.67
87,Hofn,83,IS,1573863377,65,64.25,-15.21,44.55,26.91
88,Port Pirie,90,AU,1573863377,55,-33.18,138.01,62.6,12.75
89,Cabo San Lucas,5,MX,1573863281,50,22.89,-109.91,80.01,11.41
90,Beech Grove,1,US,1573863188,86,39.72,-86.09,39.2,9.17
